"","Estimate","StdErr","t.value","p.value"
"(Intercept)",0.138952711274795,0.157821349771412,0.880443054606074,0.378754178463246
"bio_2",-0.200289300723944,0.030813920965346,-6.49996152548046,1.07645303337651e-10
"bio_3",0.158701228578827,0.0343268328224646,4.6232412235529,4.08760505705437e-06
"bio_5",0.162799018892825,0.0451531773701143,3.60548312156161,0.000321320709413828
"bio_15",-0.0190544776097453,0.0247015562004366,-0.771387739911239,0.440593293675116
"bio_18",0.0837963795155146,0.034787912309779,2.40877862314144,0.0161206361434823
"bio_19",0.0372818188463092,0.0360912642976722,1.03298733285755,0.301769020154233
"alt",0.0435457510754462,0.0408195632702663,1.0667863050648,0.286232462135551
"ai",0.0660754241872847,0.049020815399712,1.34790544891003,0.177883369822702
"wind",-0.115527702107945,0.0320680564611352,-3.60257885437986,0.000324903288891931
"srad",-0.0882015706631605,0.0330777509027372,-2.66649237798879,0.00774348343642992
"deciduousnesslikely_evergreen",0.0173386822843898,0.063212215151634,0.274293223909297,0.783895399334587
