"","Estimate","StdErr","t.value","p.value"
"(Intercept)",-0.140439571436115,0.173542507868299,-0.809251711071817,0.418492841552415
"bio_2",0.122410794689785,0.0336192322291339,3.64109429553558,0.000280280896725598
"bio_3",-0.00218666862170588,0.0372954196794581,-0.05863102334012,0.953253451979755
"bio_5",-0.18970112706167,0.0500690984992751,-3.78878655193716,0.000157093768602344
"bio_15",0.0370784552059005,0.0284365769044212,1.30390009073615,0.192458548533904
"bio_18",-0.0100747420049244,0.0401864496822291,-0.250699976847658,0.802078840547632
"bio_19",0.0467060169018468,0.0416833315286141,1.1204962556744,0.262673498031633
"alt",-0.0347373561961921,0.0453071214759822,-0.766708523175693,0.443369957588446
"ai",-0.116025212700093,0.0565495404759184,-2.05174457163808,0.040359845433861
"wind",0.072199335637315,0.0369665054501121,1.95310145652667,0.050984782524774
"srad",0.0886928810435283,0.0382298139113483,2.31999248673299,0.0204687963825039
