"component_name","filename","gbif_id","conversion_mean","predicted_conversion_factor_cm","genus_species","family","area","petiole_width","LMA","lat","lon","eco_name","biome","bio_1","bio_4","bio_12","bio_15","ai","wind","srad","leaf_phenology"
"Abelia_macrotera_1038993659__L__1874-1181-2360-1353","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",4.06,0.071353642,1.157021306,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_1038993659__L__2021-420-2355-601","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",3.28,0.095138189,1.255262321,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_1038993659__L__689-1232-827-1622","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",2.67,0.087713076,1.35791004,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_1038993659__L__742-1608-883-1693","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",0.55,0.047569095,2.483017349,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_1038993659__L__752-1350-1054-1624","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",2.8,0.054237113,1.3334721,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_1038993659__L__784-1979-882-2077","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",0.38,0.062022511,2.85970324,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_1038993659__L__852-1980-998-2375","Abelia_macrotera_1038993659",1038993659,0,94.01347651,"Abelia macrotera","unknown",2.77,0.043856538,1.338970564,31.4379,110.37817,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests",9.90633297,784.0361328,1249,63.53768539,12055,2.50999999,13244.5,NA
"Abelia_macrotera_4064849645__L__1129-4556-1419-5122","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",4,0.033773279,0.39548233,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
"Abelia_macrotera_4064849645__L__1398-3617-1654-3917","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",1.48,0.081686663,0.578194593,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
"Abelia_macrotera_4064849645__L__2655-1630-3183-2082","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",6.81,0.081336826,0.322739264,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
"Abelia_macrotera_4064849645__L__2837-1831-3439-2305","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",5.14,0.038507462,0.359356984,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
"Abelia_macrotera_4064849645__L__343-2586-852-2855","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",3.74,0.064523758,0.405767304,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
"Abelia_macrotera_4064849645__L__667-2060-950-2392","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",2.67,0.124549697,0.461515933,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
"Abelia_macrotera_4064849645__L__752-2755-876-3019","Abelia_macrotera_4064849645",4064849645,132.4163998,129.0505185,"Abelia macrotera","unknown",0.68,0.077751926,0.77820783,33.641389,107.816667,"Qin Ling Mountains deciduous forests","Temperate Broadleaf & Mixed Forests",7.622666836,790.255249,814,73.05756378,8622,2.217666626,13606.33301,NA
