"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","projectId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","coordinateUncertaintyInMeters","elevation","elevationAccuracy","continent","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","identifier.1","gbifID","occurrenceID","name","stateProvince","higherGeography","institutionKey","recordedBy","recordNumber","habitat","institutionID","nomenclaturalCode","locality","county","verbatimLocality","collectionCode","language","type","catalogNumber","institutionCode","higherClassification","identificationID","dateIdentified","modified","datasetName","identifiedBy","rightsHolder","nomenclaturalStatus","taxonID","ownerInstitutionCode","bibliographicCitation","collectionID","networkKeys","gadm.level0.gid","gadm.level0.name","distanceFromCentroidInMeters","collectionKey","preparations","fieldNumber","dynamicProperties","municipality","reproductiveCondition","http...unknown.org.recordID","associatedTaxa","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","gadm","verbatimEventDate","otherCatalogNumbers","fieldNotes","informationWithheld","disposition","locationRemarks","previousIdentifications","lifeStage","georeferenceRemarks","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","georeferencedDate","georeferenceProtocol","verbatimElevation","island","taxonRemarks","associatedOccurrences","identificationQualifier","islandGroup","identificationRemarks","organismRemarks","accessRights","organismID","locationID","media_url","license"
"3352918308","Myrcianthes fragrans (Sw.) McVaugh",26.2593,-81.1473,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:14.783+00:00",398,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,NA,NA,"NORTH_AMERICA",2021,1,29,"2021-01-29",29,29,"2024-01-29T12:47:14.783+00:00",NA,FALSE,"FAF3D10F-660D-4DC3-B8E1-1ACD9A32B172","none","none",FALSE,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","FAF3D10F-660D-4DC3-B8E1-1ACD9A32B172","3352918308","FAF3D10F-660D-4DC3-B8E1-1ACD9A32B172","Myrcianthes fragrans (Sw.) McVaugh","Florida","USA|Florida|Hendry Co.","efc9e42f-509d-47fe-a30a-1bbd7ac8ba31","A. R. Franck, G.J. Wilder, S.M. McHugh, J. McKibben","4136","Mesic hammock.","urn:lsid:biocol.org:col:15638","ICN","Green Glades West, 0.5 km N of the Collier County line, ca. 16 km SW of the Josie Billie Highway and West Boundary Road junction.","Hendry Co.","Green Glades West, 0.5 km N of the Collier County line, ca. 16 km SW of the Josie Billie Highway and West Boundary Road junction.","Herb","en","PhysicalObject","302371","USF","Plantae | Dicots | Myrtaceae","340830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/302371.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"4441038633","Myrcianthes fragrans (Sw.) McVaugh",10.967778,-85.558278,"cdround,gass84,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:58:47.764+00:00",102,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,301,NA,"NORTH_AMERICA",2021,6,11,"2021-06-11",162,162,"2024-08-02T19:58:47.764+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:103429353","none","none",TRUE,"WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","urn:catalog:MO:Tropicos:103429353","4441038633","urn:catalog:MO:Tropicos:103429353","Myrcianthes fragrans (Sw.) McVaugh","Guanacaste",NA,"6dcf2ee2-c348-4b04-9ef6-1e10109f2136","Nelson Zamora","Zamora Villalobos 10828",NA,NA,"ICNafp","Camino a la Estación Maritza, orillas de la quebrada Espavelar.","La Cruz",NA,"Tropicos",NA,"PhysicalObject","103429353","CR",NA,NA,"2021-01-01T00:00:00","2023-11-16T07:50:00.000+00:00","Tropicos","Zamora Villalobos, Nelson A.","Missouri Botanical Garden","No opinion","22101781","MOBOT","http://www.tropicos.org/Specimen/103429353","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages5/detailimages/TropicosImagesVol5/101946000/1A53D182-704B-4157-BBB6-A391A84A9166.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"3923974323","Myrcianthes fragrans (Sw.) McVaugh",18.11189,-63.03163,"cdc,gass84","b5cdf794-8fa4-4a85-8b26-755d087bf531","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","2cd829bb-b713-433d-99cf-64bef11e5b3e","FR","EML","2024-07-31T14:46:57.413+00:00","2024-07-31T15:50:59.594+00:00",549,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,191,NA,"NORTH_AMERICA",2021,10,31,"2021-10-31",304,304,"2024-07-31T15:50:59.594+00:00",NA,FALSE,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00860842","none","none",FALSE,"WGS84","Magnoliopsida","MF","none","none","LATIN_AMERICA","Saint Martin (French part)","EUROPE","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00860842","3923974323","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00860842","Myrcianthes fragrans (Sw.) McVaugh",NA,NA,"6a6ac6c5-1b8a-48db-91a2-f8661274ff80","Lecompte, C.|Ferlay, B.|Servientis, N.|Andreis, D.",NA,NA,"http://grbio.org/institution/museum-national-dhistoire-naturelle",NA,NA,NA,"Red Rock","P",NA,NA,"P00860842","MNHN",NA,NA,NA,"2022-10-06T15:10:29.000+00:00",NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","MAF","Saint-Martin",2214.57484270569,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2","hb","641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://mediaphoto.mnhn.fr/media/1665061881215WLJm4MzYQABvNovK","http://creativecommons.org/publicdomain/zero/1.0/"
"4041148325","Myrcianthes fragrans (Sw.) McVaugh",17.7814,-71.3805,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:38:43.941+00:00",403,NA,"PRESERVED_SPECIMEN",1,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,20,NA,"NORTH_AMERICA",2019,11,19,"2019-11-19",323,323,"2024-08-02T12:38:43.941+00:00",NA,FALSE,"http://n2t.net/ark:/65665/31d1d7c76-6576-42cf-ac9c-722285216878","none","none",TRUE,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","http://n2t.net/ark:/65665/31d1d7c76-6576-42cf-ac9c-722285216878","4041148325","http://n2t.net/ark:/65665/31d1d7c76-6576-42cf-ac9c-722285216878","Myrcianthes fragrans (Sw.) McVaugh","Pedernales","West Indies - Neotropics, Dominican Republic, Pedernales","be5b9c72-e499-42b8-a5dc-c27505cf232e","M. Caraballo-Ortiz, P. Acevedo-Rodriguez & H. Andujar","3423",NA,"urn:lsid:biocol.org:col:15463",NA,"Oviedo, Oviedo Viejo, Laguna de Oviedo. Limestone hill W of the lagoon. Along the trail towards Trudillé.",NA,NA,"US",NA,NA,"US 3757399","US","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",NA,NA,"2023-09-14T12:22:00.000+00:00","NMNH Extant Biology",NA,NA,NA,NA,NA,NA,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,NA,"151c91ba-a521-4735-8c11-5abf8db7fb67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3fc06e60b-abcd-4e42-acf8-8664782fedae","http://creativecommons.org/publicdomain/zero/1.0/"
"2521259659","Myrcianthes fragrans (Sw.) McVaugh",28.5139,-82.5919,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:12.624+00:00",398,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,NA,NA,"NORTH_AMERICA",2016,8,23,"2016-08-23",236,236,"2024-01-29T12:47:12.624+00:00",NA,FALSE,"9298C22F-26A1-48CF-8C4A-F8595A114B9A","none","none",FALSE,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","9298C22F-26A1-48CF-8C4A-F8595A114B9A","2521259659","9298C22F-26A1-48CF-8C4A-F8595A114B9A","Myrcianthes fragrans (Sw.) McVaugh","Florida","USA|Florida|Hernando Co.","efc9e42f-509d-47fe-a30a-1bbd7ac8ba31","R. Rowe, E. May","WW0185","Scrub.","urn:lsid:biocol.org:col:15638","ICN","Weeki Wachee State Park, SW corner of MZ 01.","Hernando Co.","SW corner of MZ 01.","Herb","en","PhysicalObject","300243","USF","Plantae | Dicots | Myrtaceae","331728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{""habit"":""Few to occasional; fruit yellow ripening to red.""}","Weeki Wachee State Park","Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/300243.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1934744699","Myrcianthes fragrans (Sw.) McVaugh",18.399873,-71.060472,"cdc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:33.459+00:00",320,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,584,NA,"NORTH_AMERICA",2016,11,12,"2016-11-12",317,317,"2024-08-01T23:10:33.459+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20469019",FALSE,"20469019","none","none",FALSE,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","20469019","1934744699","4ce9d44a-81c3-4618-8579-fefb32d86b28","Myrcianthes fragrans (Sw.) McVaugh","Barahona",NA,"a8dfdf0d-ceae-466f-ab90-393a0d2319be","Lucas C. Majure; Teodoro Clase, Yuley Encarnación Piñyero, Janet Franklin, Doug Soltis, David Steadman","6420","Bosque seco tropical en suelos rocosos (roca caliza).",NA,NA,"Sierra Martin Garcia, ca. 0.6 km al noroeste del Cruce de Vincente Noble, al norestre ca. 10 km de la Carretera 44, a lo largo de un arroyo seco.",NA,NA,NA,NA,NA,"DES00087069","DES","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrcianthes",NA,NA,"2023-07-16T07:02:03.000+00:00",NA,NA,NA,NA,"48202",NA,NA,"edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,NA,NA,"Flowers","4ce9d44a-81c3-4618-8579-fefb32d86b28","Agave antillarum, Amyris diatripa, Capparis domingensis, Collubrina elliptica, Eugenia nannophylla, Leptocereus weingartianus, Prosopis juliflora, Randia aculeata, Thouinia trifoliata","http://creativecommons.org/licenses/by-nc/3.0/","Arbusto, comun.","lschneberger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00087/DES00087069_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1934744703","Myrcianthes fragrans (Sw.) McVaugh",18.401243,-71.044725,"cdc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:33.538+00:00",320,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,755,NA,"NORTH_AMERICA",2016,11,13,"2016-11-13",318,318,"2024-08-01T23:10:33.538+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20469131",FALSE,"20469131","none","none",FALSE,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","20469131","1934744703","d30e5b8a-841f-4fb1-8bf2-537bd016a112","Myrcianthes fragrans (Sw.) McVaugh","Barahona",NA,"a8dfdf0d-ceae-466f-ab90-393a0d2319be","Lucas C. Majure; Teodoro Clase, Yuley Encarnación Piñyero, Janet Franklin, Miguel Landestoy, Doug Soltis, David Steadman","6459","bosque seco tropical en suelos pedregosos; roca calcárea",NA,NA,"Sierra Martín García, ca. 0.6 km al noreste del Cruce de Vicente Noble, al noreste ca. 11.2 km de la Carretera 44, a lo largo del un arroyo seco.",NA,NA,NA,NA,NA,"DES00087054","DES","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrcianthes",NA,NA,"2023-07-16T07:02:03.000+00:00",NA,NA,NA,NA,"48202",NA,NA,"edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,NA,NA,NA,"d30e5b8a-841f-4fb1-8bf2-537bd016a112","Buxus glomeratus, Celtis trinervia, Clerodendron aculeatum, Erythroxylon suave, Eugenia foetida, Eugenia rhombea, Eupatorium sinuatum, Gouania lupuloides, Helicteres jamaicensis, Hyocereus triangularis, Krugiodendron ferreum, Lasciacis divaricata, Reynosia mucronata, Rivina humilis, Sideroxylon salicifolium, Ziziphus rignonii","http://creativecommons.org/licenses/by-nc/3.0/","Arbusto hasta 1.5 m.","lschneberger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00087/DES00087054_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1934744701","Myrcianthes fragrans (Sw.) McVaugh",18.392595,-71.038148,"cdc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:33.573+00:00",320,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,957,NA,"NORTH_AMERICA",2016,11,13,"2016-11-13",318,318,"2024-08-01T23:10:33.573+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20469198",FALSE,"20469198","none","none",FALSE,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","20469198","1934744701","400faca7-815d-4a62-9453-f07cb91823b2","Myrcianthes fragrans (Sw.) McVaugh","Barahona",NA,"a8dfdf0d-ceae-466f-ab90-393a0d2319be","Lucas C. Majure; Teodoro Clase, Yuley Encarnación Piñyero, Janet Franklin, Miguel Landestoy, Doug Soltis, David Steadman","6579a","Bosque seco tropical, en suelos pedregosos; roca calcárea",NA,NA,"Sierra Martín García, ca 0.6 km al noreste del Cruce de Vincente Noble, al noreste ca 13 km de la Carretera 44, a lo large de un arroyo seco.",NA,NA,NA,NA,NA,"DES00087056","DES","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrcianthes",NA,NA,"2023-07-16T07:02:03.000+00:00",NA,NA,NA,NA,"48202",NA,NA,"edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,NA,NA,"fruit","400faca7-815d-4a62-9453-f07cb91823b2","Akrosida floribunda, Chamissoa altissima, Chionanthus ligustrina, Cissampelos pareira, Consolea picardae, Lasciacis divaricata, Opuntia taylorii, Picramnia pentandra, Pilosocereus royenii, Pteridium aquilinum (caudatum), Rhipsalis baccifera, Schafferia frutescens, Tournefortia scabra, Trema lamarckiana, Trema micranthum, Trichostigma octandra, Turpinia picardae, Vernonia sprengeliana","http://creativecommons.org/licenses/by-nc/3.0/",NA,"lschneberger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00087/DES00087056_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2572936327","Myrcianthes fragrans (Sw.) McVaugh",18.392595,-71.038148,"cdc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:23.192+00:00",320,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,957,NA,"NORTH_AMERICA",2016,11,13,"2016-11-13",318,318,"2024-08-01T23:10:23.192+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20952682",FALSE,"20952682","none","none",FALSE,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","20952682","2572936327","8072f05e-de28-43d3-b028-d0d2d35a6dab","Myrcianthes fragrans (Sw.) McVaugh","Barahona",NA,"a8dfdf0d-ceae-466f-ab90-393a0d2319be","Lucas C. Majure; Teodoro Clase, Yuley Encarnación Piñyero, Janet Franklin, Miguel Landestoy, Doug Soltis, David Steadman","6570","Bosque seco tropical, en suelos pedregosos; (de roca calcarea)",NA,NA,"Sierra Martín García, 0.6 km al noroeste del Cruce de Vincente Noble, al noroeste ca. 13 km de la Carretera 44, a lo largo de un arroyo seco.",NA,NA,NA,NA,NA,"DES00087334","DES","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrcianthes",NA,NA,"2023-07-16T07:02:03.000+00:00",NA,NA,NA,NA,"48202",NA,NA,"edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,NA,NA,NA,"8072f05e-de28-43d3-b028-d0d2d35a6dab","Akrosida floribunda, Chamissoa altissima, Chionanthus ligustrina, Cissampelos pareira, Consolea picardae, Lasciacis divaricata, Opuntia taylorii, Picramnia pentandra, Pilosocereus royenii, Pteridium aquilinum (caudatum), Rhipsalis baccifera, Schafferia frutescens, Tournefortia scabra, Trema lemarkiana, Trema micrantha, Trichostigma octandra, Turpinia picardae, Vernonia sprengeliana.","http://creativecommons.org/licenses/by-nc/3.0/","Arbusto","eleanoreros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/DES/DES00087/DES00087334_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1503278511","Myrcianthes fragrans (Sw.) McVaugh",28.4711,-80.5373,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:10.800+00:00",398,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",3188228,6,7707728,220,690,5014,3188150,9920389,9920389,"Myrcianthes fragrans (Sw) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcianthes","Myrcianthes fragrans","Myrcianthes","fragrans","SPECIES","SYNONYM","LC",NA,NA,NA,"NORTH_AMERICA",2015,6,29,"2015-06-29",180,180,"2024-01-29T12:47:10.800+00:00",NA,FALSE,"637AE08B-2EEE-43EE-9CE3-53BD1FEF2B41","none","none",FALSE,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","637AE08B-2EEE-43EE-9CE3-53BD1FEF2B41","1503278511","637AE08B-2EEE-43EE-9CE3-53BD1FEF2B41","Myrcianthes fragrans (Sw.) McVaugh","Florida","USA|Florida|Brevard Co.","efc9e42f-509d-47fe-a30a-1bbd7ac8ba31","P. A. Schmalzer, T.E. Foster","15-23","Coastral strand.","urn:lsid:biocol.org:col:15638","ICN","Kennedy Space Center, Canaveral National Seashore; Merritt Island National Wildlife Refuge; Playalinda Beach, Eddy Creek area.","Brevard Co.","Canaveral National Seashore; Merritt Island National Wildlife Refuge; Playalinda Beach, Eddy Creek area.","Herb","en","PhysicalObject","283171","USF","Plantae | Dicots | Myrtaceae","183465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kennedy Space Center","Bud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/283171.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
